EDAM_data:0005, "Resource type"
EDAM_data:2872, "ID list"
EDAM_data:2873, "Phylogenetic gene frequencies data"
EDAM_data:2874, "Sequence set (polymorphic)"
EDAM_data:2875, "DRCAT resource"
EDAM_data:2877, "Protein complex"
EDAM_data:2878, "Protein structural motif"
EDAM_data:2879, "Lipid report"
EDAM_data:2880, "Secondary structure image"
EDAM_data:2881, "Secondary structure report"
EDAM_data:2882, "DNA features"
EDAM_data:2883, "RNA features report"
EDAM_data:2884, "Plot"
EDAM_data:2885, "Nucleic acid features report (polymorphism)"
EDAM_data:2886, "Protein sequence record"
EDAM_data:2887, "Nucleic acid sequence record"
EDAM_data:2888, "Protein sequence record (full)"
EDAM_data:2889, "Nucleic acid sequence record (full) "
EDAM_data:2891, "Biological model accession"
EDAM_data:2892, "Cell type name"
EDAM_data:2893, "Cell type accession"
EDAM_data:2894, "Compound accession"
EDAM_data:2895, "Drug accession"
EDAM_data:2896, "Toxin name"
EDAM_data:2897, "Toxin accession"
EDAM_data:2898, "Monosaccharide accession"
EDAM_data:2899, "Drug name"
EDAM_data:2900, "Carbohydrate accession"
EDAM_data:2901, "Molecule accession"
EDAM_data:2902, "Data resource definition accession"
EDAM_data:2903, "Genome accession"
EDAM_data:2904, "Map accession"
EDAM_data:2905, "Lipid accession"
EDAM_data:2906, "Peptide ID"
EDAM_data:2907, "Protein accession"
EDAM_data:2908, "Organism accession"
EDAM_data:2909, "Organism name"
EDAM_data:2910, "Protein family accession"
EDAM_data:2911, "Transcription factor accession"
EDAM_data:2912, "Strain accession"
EDAM_data:2913, "Virus identifier"
EDAM_data:2914, "Sequence features metadata"
EDAM_data:2915, "Gramene identifier"
EDAM_data:2916, "DDBJ accession"
EDAM_data:2917, "ConsensusPathDB identifier"
EDAM_data:2925, "Sequence data"
EDAM_data:2927, "Codon usage"
EDAM_data:2954, "Article report"
EDAM_data:2955, "Sequence report"
EDAM_data:2956, "Protein secondary structure report"
EDAM_data:2957, "Hopp and Woods plot"
EDAM_data:2958, "Nucleic acid melting curve"
EDAM_data:2959, "Nucleic acid probability profile"
EDAM_data:2960, "Nucleic acid temperature profile"
EDAM_data:2961, "Gene regulatory network report"
EDAM_data:2965, "2D PAGE gel report"
EDAM_data:2966, "Oligonucleotide probe sets annotation"
EDAM_data:2967, "Microarray image"
EDAM_data:2968, "Image"
EDAM_data:2969, "Sequence image"
EDAM_data:2970, "Protein hydropathy data"
EDAM_data:2971, "Workflow data"
EDAM_data:2972, "Workflow"
EDAM_data:2973, "Secondary structure data"
EDAM_data:2974, "Protein sequence (raw)"
EDAM_data:2975, "Nucleic acid sequence (raw)"
EDAM_data:2976, "Protein sequence"
EDAM_data:2977, "Nucleic acid sequence"
EDAM_data:2978, "Reaction data"
EDAM_data:2979, "Peptide property"
EDAM_data:2980, "Protein classification"
EDAM_data:2981, "Sequence motif data"
EDAM_data:2982, "Sequence profile data"
EDAM_data:2983, "Pathway or network data"
EDAM_data:2984, "Pathway or network report"
EDAM_data:2985, "Nucleic acid thermodynamic data"
EDAM_data:2986, "Nucleic acid classification"
EDAM_data:2987, "Classification report"
EDAM_data:2989, "Protein features report (key folding sites)"
EDAM_data:2991, "Protein torsion angle data"
EDAM_data:2992, "Protein structure image"
EDAM_data:2994, "Phylogenetic character weights"
EDAM_data:3002, "Annotation track"
EDAM_data:3021, "UniProt accession"
EDAM_data:3022, "NCBI genetic code ID"
EDAM_data:3025, "Ontology concept identifier"
EDAM_data:3026, "GO concept name (biological process)"
EDAM_data:3027, "GO concept name (molecular function)"
EDAM_data:3028, "Taxonomy"
EDAM_data:3029, "Protein ID (EMBL/GenBank/DDBJ)"
EDAM_data:3031, "Core data"
EDAM_data:3034, "Sequence feature identifier"
EDAM_data:3035, "Structure identifier"
EDAM_data:3036, "Matrix identifier"
EDAM_data:3085, "Protein sequence composition"
EDAM_data:3086, "Nucleic acid sequence composition (report)"
EDAM_data:3101, "Protein domain classification node"
EDAM_data:3102, "CAS number"
EDAM_data:3103, "ATC code"
EDAM_data:3104, "UNII"
EDAM_data:3105, "Geotemporal metadata"
EDAM_data:3106, "System metadata"
EDAM_data:3107, "Sequence feature name"
EDAM_data:3108, "Experimental measurement"
EDAM_data:3110, "Raw microarray data"
EDAM_data:3111, "Processed microarray data"
EDAM_data:3112, "Gene expression matrix"
EDAM_data:3113, "Sample annotation"
EDAM_data:3115, "Microarray metadata"
EDAM_data:3116, "Microarray protocol annotation"
EDAM_data:3117, "Microarray hybridisation data"
EDAM_data:3118, "Protein features report (topological domains)"
EDAM_data:3119, "Sequence features (compositionally-biased regions)"
EDAM_data:3122, "Nucleic acid features (difference and change)"
EDAM_data:3123, "Nucleic acid features report (expression signal)"
EDAM_data:3125, "Nucleic acid features report (binding)"
EDAM_data:3126, "Nucleic acid repeats (report)"
EDAM_data:3127, "Nucleic acid features report (replication and recombination)"
EDAM_data:3128, "Nucleic acid structure report"
EDAM_data:3129, "Protein features report (repeats)"
EDAM_data:3130, "Sequence motif matches (protein)"
EDAM_data:3131, "Sequence motif matches (nucleic acid)"
EDAM_data:3132, "Nucleic acid features (d-loop)"
EDAM_data:3133, "Nucleic acid features (stem loop)"
EDAM_data:3134, "Gene transcript report"
EDAM_data:3135, "Nucleic acid features report (signal or transit peptide)"
EDAM_data:3137, "Non-coding RNA"
EDAM_data:3138, "Transcriptional features (report)"
EDAM_data:3139, "Nucleic acid features report (STS)"
EDAM_data:3140, "Nucleic acid features (immunoglobulin gene structure)"
EDAM_data:3141, "SCOP class"
EDAM_data:3142, "SCOP fold"
EDAM_data:3143, "SCOP superfamily"
EDAM_data:3144, "SCOP family"
EDAM_data:3145, "SCOP protein"
EDAM_data:3146, "SCOP species"
EDAM_data:3147, "Mass spectrometry experiment"
EDAM_data:3148, "Gene family report"
EDAM_data:3153, "Protein image"
EDAM_data:3154, "Protein alignment"
EDAM_data:3165, "NGS experiment"
EDAM_data:3181, "Sequence assembly report"
EDAM_data:3210, "Genome index"
EDAM_data:3231, "GWAS report"
EDAM_data:3236, "Cytoband position"
EDAM_data:3238, "Cell type ontology ID"
EDAM_data:3241, "Kinetic model"
EDAM_data:3264, "COSMIC ID"
EDAM_data:3265, "HGMD ID"
EDAM_data:3266, "Sequence assembly ID"
EDAM_data:3268, "Sequence feature type"
EDAM_data:3269, "Gene homology (report)"
EDAM_data:3270, "Ensembl gene tree ID"
EDAM_data:3271, "Gene tree"
EDAM_data:3272, "Species tree"
EDAM_data:3273, "Sample ID"
EDAM_data:3274, "MGI accession"
EDAM_data:3275, "Phenotype name"
EDAM_data:3354, "Transition matrix"
EDAM_data:3355, "Emission matrix"
EDAM_data:3356, "Hidden Markov model"
EDAM_data:3358, "Format identifier"
EDAM_data:3424, "Raw image"
EDAM_data:3425, "Carbohydrate property"
EDAM_data:3426, "Proteomics experiment report"
EDAM_data:3427, "RNAi report"
EDAM_data:3428, "Simulation experiment report"
EDAM_data:3442, "MRI image"
EDAM_data:3449, "Cell migration track image"
EDAM_data:3451, "Rate of association"
EDAM_data:3479, "Gene order"
EDAM_data:3483, "Spectrum"
EDAM_data:3488, "NMR spectrum"
EDAM_data:3490, "Chemical structure sketch"
EDAM_data:3492, "Nucleic acid signature"
EDAM_data:3494, "DNA sequence"
EDAM_data:3495, "RNA sequence"
EDAM_data:3496, "RNA sequence (raw)"
EDAM_data:3497, "DNA sequence (raw)"
EDAM_data:3498, "Sequence variations"
EDAM_data:3505, "Bibliography"
EDAM_data:3509, "Ontology mapping"
EDAM_format:1196, "SMILES"
EDAM_format:1197, "InChI"
EDAM_format:1198, "mf"
EDAM_format:1199, "inchikey"
EDAM_format:1200, "smarts"
EDAM_format:1206, "unambiguous pure"
EDAM_format:1207, "nucleotide"
EDAM_format:1208, "protein"
EDAM_format:1209, "consensus"
EDAM_format:1210, "pure nucleotide"
EDAM_format:1211, "unambiguous pure nucleotide"
EDAM_format:1212, "dna"
EDAM_format:1213, "rna"
EDAM_format:1214, "unambiguous pure dna"
EDAM_format:1215, "pure dna"
EDAM_format:1216, "unambiguous pure rna sequence"
EDAM_format:1217, "pure rna"
EDAM_format:1218, "unambiguous pure protein"
EDAM_format:1219, "pure protein"
EDAM_format:1228, "UniGene entry format"
EDAM_format:1247, "COG sequence cluster format"
EDAM_format:1248, "EMBL feature location"
EDAM_format:1295, "quicktandem"
EDAM_format:1296, "Sanger inverted repeats"
EDAM_format:1297, "EMBOSS repeat"
EDAM_format:1316, "est2genome format"
EDAM_format:1318, "restrict format"
EDAM_format:1319, "restover format"
EDAM_format:1320, "REBASE restriction sites"
EDAM_format:1332, "FASTA search results format"
EDAM_format:1333, "BLAST results"
EDAM_format:1334, "mspcrunch"
EDAM_format:1335, "Smith-Waterman format"
EDAM_format:1336, "dhf"
EDAM_format:1337, "lhf"
EDAM_format:1341, "InterPro hits format"
EDAM_format:1342, "InterPro protein view report format"
EDAM_format:1343, "InterPro match table format"
EDAM_format:1349, "HMMER Dirichlet prior"
EDAM_format:1350, "MEME Dirichlet prior"
EDAM_format:1351, "HMMER emission and transition"
EDAM_format:1356, "prosite-pattern"
EDAM_format:1357, "EMBOSS sequence pattern"
EDAM_format:1360, "meme-motif"
EDAM_format:1366, "prosite-profile"
EDAM_format:1367, "JASPAR format"
EDAM_format:1369, "MEME background Markov model"
EDAM_format:1370, "HMMER format"
EDAM_format:1391, "HMMER-aln"
EDAM_format:1392, "DIALIGN format"
EDAM_format:1393, "daf"
EDAM_format:1419, "Sequence-MEME profile alignment"
EDAM_format:1421, "HMMER profile alignment (sequences versus HMMs)"
EDAM_format:1422, "HMMER profile alignment (HMM versus sequences)"
EDAM_format:1423, "Phylip distance matrix"
EDAM_format:1424, "ClustalW dendrogram"
EDAM_format:1425, "Phylip tree raw"
EDAM_format:1430, "Phylip continuous quantitative characters"
EDAM_format:1431, "Phylogenetic property values format"
EDAM_format:1432, "Phylip character frequencies format"
EDAM_format:1433, "Phylip discrete states format"
EDAM_format:1434, "Phylip cliques format"
EDAM_format:1435, "Phylip tree format"
EDAM_format:1436, "TreeBASE format"
EDAM_format:1437, "TreeFam format"
EDAM_format:1445, "Phylip tree distance format"
EDAM_format:1454, "dssp"
EDAM_format:1455, "hssp"
EDAM_format:1457, "Dot-bracket format"
EDAM_format:1458, "Vienna local RNA secondary structure format"
EDAM_format:1475, "PDB database entry format"
EDAM_format:1476, "PDB"
EDAM_format:1477, "mmCIF"
EDAM_format:1478, "PDBML"
EDAM_format:1500, "Domainatrix 3D-1D scoring matrix format"
EDAM_format:1504, "aaindex"
EDAM_format:1511, "IntEnz enzyme report format"
EDAM_format:1512, "BRENDA enzyme report format"
EDAM_format:1513, "KEGG REACTION enzyme report format"
EDAM_format:1514, "KEGG ENZYME enzyme report format"
EDAM_format:1515, "REBASE proto enzyme report format"
EDAM_format:1516, "REBASE withrefm enzyme report format"
EDAM_format:1551, "Pcons report format"
EDAM_format:1552, "ProQ report format"
EDAM_format:1563, "SMART domain assignment report format"
EDAM_format:1568, "BIND entry format"
EDAM_format:1569, "IntAct entry format"
EDAM_format:1570, "InterPro entry format"
EDAM_format:1571, "InterPro entry abstract format"
EDAM_format:1572, "Gene3D entry format"
EDAM_format:1573, "PIRSF entry format"
EDAM_format:1574, "PRINTS entry format"
EDAM_format:1575, "Panther Families and HMMs entry format"
EDAM_format:1576, "Pfam entry format"
EDAM_format:1577, "SMART entry format"
EDAM_format:1578, "Superfamily entry format"
EDAM_format:1579, "TIGRFam entry format"
EDAM_format:1580, "ProDom entry format"
EDAM_format:1581, "FSSP entry format"
EDAM_format:1582, "findkm"
EDAM_format:1603, "Ensembl gene report format"
EDAM_format:1604, "DictyBase gene report format"
EDAM_format:1605, "CGD gene report format"
EDAM_format:1606, "DragonDB gene report format"
EDAM_format:1607, "EcoCyc gene report format"
EDAM_format:1608, "FlyBase gene report format"
EDAM_format:1609, "Gramene gene report format"
EDAM_format:1610, "KEGG GENES gene report format"
EDAM_format:1611, "MaizeGDB gene report format"
EDAM_format:1612, "MGD gene report format"
EDAM_format:1613, "RGD gene report format"
EDAM_format:1614, "SGD gene report format"
EDAM_format:1615, "GeneDB gene report format"
EDAM_format:1616, "TAIR gene report format"
EDAM_format:1617, "WormBase gene report format"
EDAM_format:1618, "ZFIN gene report format"
EDAM_format:1619, "TIGR gene report format"
EDAM_format:1620, "dbSNP polymorphism report format"
EDAM_format:1623, "OMIM entry format"
EDAM_format:1624, "HGVbase entry format"
EDAM_format:1625, "HIVDB entry format"
EDAM_format:1626, "KEGG DISEASE entry format"
EDAM_format:1627, "Primer3 primer"
EDAM_format:1628, "ABI"
EDAM_format:1629, "mira"
EDAM_format:1630, "CAF"
EDAM_format:1631, "exp"
EDAM_format:1632, "SCF"
EDAM_format:1633, "PHD"
EDAM_format:1637, "dat"
EDAM_format:1638, "cel"
EDAM_format:1639, "affymetrix"
EDAM_format:1640, "ArrayExpress entry format"
EDAM_format:1641, "affymetrix-exp"
EDAM_format:1644, "CHP"
EDAM_format:1645, "EMDB entry format"
EDAM_format:1647, "KEGG PATHWAY entry format"
EDAM_format:1648, "MetaCyc entry format"
EDAM_format:1649, "HumanCyc entry format"
EDAM_format:1650, "INOH entry format"
EDAM_format:1651, "PATIKA entry format"
EDAM_format:1652, "Reactome entry format"
EDAM_format:1653, "aMAZE entry format"
EDAM_format:1654, "CPDB entry format"
EDAM_format:1655, "Panther Pathways entry format"
EDAM_format:1665, "Taverna workflow format"
EDAM_format:1666, "BioModel mathematical model format"
EDAM_format:1697, "KEGG LIGAND entry format"
EDAM_format:1698, "KEGG COMPOUND entry format"
EDAM_format:1699, "KEGG PLANT entry format"
EDAM_format:1700, "KEGG GLYCAN entry format"
EDAM_format:1701, "PubChem entry format"
EDAM_format:1702, "ChemSpider entry format"
EDAM_format:1703, "ChEBI entry format"
EDAM_format:1704, "MSDchem ligand dictionary entry format"
EDAM_format:1705, "HET group dictionary entry format"
EDAM_format:1706, "KEGG DRUG entry format"
EDAM_format:1734, "PubMed citation"
EDAM_format:1735, "Medline Display Format"
EDAM_format:1736, "CiteXplore-core"
EDAM_format:1737, "CiteXplore-all"
EDAM_format:1739, "pmc"
EDAM_format:1740, "iHOP text mining abstract format"
EDAM_format:1741, "Oscar3"
EDAM_format:1747, "PDB atom record format"
EDAM_format:1760, "CATH chain report format"
EDAM_format:1761, "CATH PDB report format"
EDAM_format:1782, "NCBI gene report format"
EDAM_format:1808, "GeneIlluminator gene report format"
EDAM_format:1809, "BacMap gene card format"
EDAM_format:1810, "ColiCard report format"
EDAM_format:1861, "PlasMapper TextMap"
EDAM_format:1910, "newick"
EDAM_format:1911, "TreeCon format"
EDAM_format:1912, "Nexus format"
EDAM_format:1915, "Format"
EDAM_format:1918, "Atomic data format"
EDAM_format:1919, "Sequence record format"
EDAM_format:1920, "Sequence feature annotation format"
EDAM_format:1921, "Alignment format"
EDAM_format:1923, "acedb"
EDAM_format:1924, "clustal sequence format"
EDAM_format:1925, "codata"
EDAM_format:1926, "dbid"
EDAM_format:1927, "EMBL format"
EDAM_format:1928, "Staden experiment format"
EDAM_format:1929, "FASTA"
EDAM_format:1930, "FASTQ"
EDAM_format:1931, "FASTQ-illumina"
EDAM_format:1932, "FASTQ-sanger"
EDAM_format:1933, "FASTQ-solexa"
EDAM_format:1934, "fitch program"
EDAM_format:1935, "GCG"
EDAM_format:1936, "GenBank format"
EDAM_format:1937, "genpept"
EDAM_format:1938, "GFF2-seq"
EDAM_format:1939, "GFF3-seq"
EDAM_format:1940, "giFASTA format"
EDAM_format:1941, "hennig86"
EDAM_format:1942, "ig"
EDAM_format:1943, "igstrict"
EDAM_format:1944, "jackknifer"
EDAM_format:1945, "mase format"
EDAM_format:1946, "mega-seq"
EDAM_format:1947, "MSF"
EDAM_format:1948, "nbrf/pir"
EDAM_format:1949, "nexus-seq"
EDAM_format:1950, "pdbatom"
EDAM_format:1951, "pdbatomnuc"
EDAM_format:1952, "pdbseqresnuc"
EDAM_format:1953, "pdbseqres"
EDAM_format:1954, "Pearson format"
EDAM_format:1955, "phylip sequence format"
EDAM_format:1956, "phylipnon sequence format"
EDAM_format:1957, "raw"
EDAM_format:1958, "refseqp"
EDAM_format:1959, "selex sequence format"
EDAM_format:1960, "Staden format"
EDAM_format:1961, "Stockholm format"
EDAM_format:1962, "strider format"
EDAM_format:1963, "UniProtKB format"
EDAM_format:1964, "plain text format (unformatted)"
EDAM_format:1965, "treecon sequence format"
EDAM_format:1966, "ASN.1 sequence format"
EDAM_format:1967, "DAS format"
EDAM_format:1968, "dasdna"
EDAM_format:1969, "debug-seq"
EDAM_format:1970, "jackknifernon"
EDAM_format:1971, "meganon sequence format"
EDAM_format:1972, "NCBI format"
EDAM_format:1973, "nexusnon"
EDAM_format:1974, "GFF2"
EDAM_format:1975, "GFF3"
EDAM_format:1976, "pir"
EDAM_format:1977, "swiss feature"
EDAM_format:1978, "DASGFF"
EDAM_format:1979, "debug-feat"
EDAM_format:1980, "EMBL feature"
EDAM_format:1981, "GenBank feature"
EDAM_format:1982, "ClustalW format"
EDAM_format:1983, "debug"
EDAM_format:1984, "FASTA-aln"
EDAM_format:1985, "markx0"
EDAM_format:1986, "markx1"
EDAM_format:1987, "markx10"
EDAM_format:1988, "markx2"
EDAM_format:1989, "markx3"
EDAM_format:1990, "match"
EDAM_format:1991, "mega"
EDAM_format:1992, "meganon"
EDAM_format:1993, "msf alignment format"
EDAM_format:1994, "nexus alignment format"
EDAM_format:1995, "nexusnon alignment format"
EDAM_format:1996, "pair"
EDAM_format:1997, "PHYLIP format"
EDAM_format:1998, "phylipnon"
EDAM_format:1999, "scores format"
EDAM_format:2000, "selex"
EDAM_format:2001, "EMBOSS simple format"
EDAM_format:2002, "srs format"
EDAM_format:2003, "srspair"
EDAM_format:2004, "T-Coffee format"
EDAM_format:2005, "TreeCon-seq"
EDAM_format:2006, "Phylogenetic tree format"
EDAM_format:2013, "Biological pathway or network format"
EDAM_format:2014, "Sequence-profile alignment format"
EDAM_format:2015, "Sequence-profile alignment (HMM) format"
EDAM_format:2017, "Amino acid index format"
EDAM_format:2020, "Article format"
EDAM_format:2021, "Text mining report format"
EDAM_format:2027, "Enzyme kinetics report format"
EDAM_format:2030, "Small molecule report format"
EDAM_format:2031, "Gene annotation format"
EDAM_format:2032, "Workflow format"
EDAM_format:2033, "Tertiary structure format"
EDAM_format:2034, "Biological model format"
EDAM_format:2035, "Chemical formula format"
EDAM_format:2036, "Phylogenetic character data format"
EDAM_format:2037, "Phylogenetic continuous quantitative character format"
EDAM_format:2038, "Phylogenetic discrete states format"
EDAM_format:2039, "Phylogenetic tree report (cliques) format"
EDAM_format:2040, "Phylogenetic tree report (invariants) format"
EDAM_format:2045, "Electron microscopy model format"
EDAM_format:2049, "Phylogenetic tree report (tree distances) format"
EDAM_format:2051, "Polymorphism report format"
EDAM_format:2052, "Protein family report format"
EDAM_format:2054, "Protein interaction format"
EDAM_format:2055, "Sequence assembly format"
EDAM_format:2056, "Microarray experiment data format"
EDAM_format:2057, "Sequence trace format"
EDAM_format:2058, "Gene expression report format"
EDAM_format:2059, "Genotype and phenotype annotation format"
EDAM_format:2060, "Map format"
EDAM_format:2061, "Nucleic acid features (primers) format"
EDAM_format:2062, "Protein report format"
EDAM_format:2063, "Protein report (enzyme) format"
EDAM_format:2064, "3D-1D scoring matrix format"
EDAM_format:2065, "Protein structure report (quality evaluation) format"
EDAM_format:2066, "Database hits (sequence) format"
EDAM_format:2067, "Sequence distance matrix format"
EDAM_format:2068, "Sequence motif format"
EDAM_format:2069, "Sequence profile format"
EDAM_format:2072, "Hidden Markov model format"
EDAM_format:2074, "Dirichlet distribution format"
EDAM_format:2075, "HMM emission and transition counts format"
EDAM_format:2076, "RNA secondary structure format"
EDAM_format:2077, "Protein secondary structure format"
EDAM_format:2078, "Sequence range format"
EDAM_format:2094, "pure"
EDAM_format:2095, "unpure"
EDAM_format:2096, "unambiguous sequence"
EDAM_format:2097, "ambiguous"
EDAM_format:2155, "Sequence features (repeats) format"
EDAM_format:2158, "Nucleic acid features (restriction sites) format"
EDAM_format:2159, "Gene features (coding region) format"
EDAM_format:2170, "Sequence cluster format"
EDAM_format:2171, "Sequence cluster format (protein)"
EDAM_format:2172, "Sequence cluster format (nucleic acid)"
EDAM_format:2175, "Gene cluster format"
EDAM_format:2181, "EMBL-like (text)"
EDAM_format:2182, "FASTQ-like format (text)"
EDAM_format:2183, "EMBLXML"
EDAM_format:2184, "cdsxml"
EDAM_format:2185, "insdxml"
EDAM_format:2186, "geneseq"
EDAM_format:2187, "UniProt-like (text)"
EDAM_format:2188, "UniProt format"
EDAM_format:2189, "ipi"
EDAM_format:2194, "medline"
EDAM_format:2195, "Ontology format"
EDAM_format:2196, "OBO format"
EDAM_format:2197, "OWL format"
EDAM_format:2200, "FASTA-like (text)"
EDAM_format:2202, "Sequence record full format"
EDAM_format:2203, "Sequence record lite format"
EDAM_format:2204, "EMBL format (XML)"
EDAM_format:2205, "GenBank-like format (text)"
EDAM_format:2206, "Sequence feature table format (text)"
EDAM_format:2210, "Strain data format"
EDAM_format:2211, "CIP strain data format"
EDAM_format:2243, "phylip property values"
EDAM_format:2303, "STRING entry format (HTML)"
EDAM_format:2304, "STRING entry format (XML)"
EDAM_format:2305, "GFF"
EDAM_format:2306, "GTF"
EDAM_format:2310, "FASTA-HTML"
EDAM_format:2311, "EMBL-HTML"
EDAM_format:2322, "BioCyc enzyme report format"
EDAM_format:2323, "ENZYME enzyme report format"
EDAM_format:2328, "PseudoCAP gene report format"
EDAM_format:2329, "GeneCards gene report format"
EDAM_format:2330, "Textual format"
EDAM_format:2331, "HTML"
EDAM_format:2332, "XML"
EDAM_format:2333, "Binary format"
EDAM_format:2334, "URI format"
EDAM_format:2341, "NCI-Nature pathway entry format"
EDAM_format:2350, "Format (typed)"
EDAM_format:2352, "BioXSD"
EDAM_format:2376, "RDF format"
EDAM_format:2532, "GenBank-HTML"
EDAM_format:2542, "Protein features (domains) format"
EDAM_format:2543, "EMBL-like format"
EDAM_format:2545, "FASTQ-like format"
EDAM_format:2546, "FASTA-like"
EDAM_format:2547, "uniprotkb-like format"
EDAM_format:2548, "Sequence feature table format"
EDAM_format:2549, "OBO"
EDAM_format:2550, "OBO-XML"
EDAM_format:2551, "Sequence record format (text)"
EDAM_format:2552, "Sequence record format (XML)"
EDAM_format:2553, "Sequence feature table format (XML)"
EDAM_format:2554, "Alignment format (text)"
EDAM_format:2555, "Alignment format (XML)"
EDAM_format:2556, "Phylogenetic tree format (text)"
EDAM_format:2557, "Phylogenetic tree format (XML)"
EDAM_format:2558, "EMBL-like (XML)"
EDAM_format:2559, "GenBank-like format"
EDAM_format:2560, "STRING entry format"
EDAM_format:2561, "Sequence assembly format (text)"
EDAM_format:2562, "Amino acid identifier format"
EDAM_format:2566, "completely unambiguous"
EDAM_format:2567, "completely unambiguous pure"
EDAM_format:2568, "completely unambiguous pure nucleotide"
EDAM_format:2569, "completely unambiguous pure dna"
EDAM_format:2570, "completely unambiguous pure rna sequence"
EDAM_format:2571, "Raw sequence format"
EDAM_format:2572, "BAM"
EDAM_format:2573, "SAM"
EDAM_format:2585, "SBML"
EDAM_format:2607, "completely unambiguous pure protein"
EDAM_format:2848, "Bibliographic reference format"
EDAM_format:2919, "Sequence annotation track format"
EDAM_format:2920, "Alignment format (pair only)"
EDAM_format:2921, "Sequence variation annotation format"
EDAM_format:2922, "markx0 variant"
EDAM_format:2923, "mega variant"
EDAM_format:2924, "Phylip format variant"
EDAM_format:3000, "AB1"
EDAM_format:3001, "ACE"
EDAM_format:3003, "BED"
EDAM_format:3004, "bigBed"
EDAM_format:3005, "WIG"
EDAM_format:3006, "bigWig"
EDAM_format:3007, "PSL"
EDAM_format:3008, "MAF"
EDAM_format:3009, "2bit"
EDAM_format:3010, ".nib"
EDAM_format:3011, "genePred"
EDAM_format:3012, "pgSnp"
EDAM_format:3013, "axt"
EDAM_format:3014, "LAV"
EDAM_format:3015, "Pileup"
EDAM_format:3016, "VCF"
EDAM_format:3017, "SRF"
EDAM_format:3018, "ZTR"
EDAM_format:3019, "GVF"
EDAM_format:3020, "BCF"
EDAM_format:3033, "Matrix format"
EDAM_format:3097, "Protein domain classification format"
EDAM_format:3098, "Raw SCOP domain classification format"
EDAM_format:3099, "Raw CATH domain classification format"
EDAM_format:3100, "CATH domain report format"
EDAM_format:3155, "SBRML"
EDAM_format:3156, "BioPAX"
EDAM_format:3157, "EBI Application Result XML"
EDAM_format:3158, "PSI MI XML (MIF)"
EDAM_format:3159, "phyloXML"
EDAM_format:3160, "NeXML"
EDAM_format:3161, "MAGE-ML"
EDAM_format:3162, "MAGE-TAB"
EDAM_format:3163, "GCDML"
EDAM_format:3164, "GTrack"
EDAM_format:3166, "Biological pathway or network report format"
EDAM_format:3167, "Experiment annotation format"
EDAM_format:3235, "Cytoband format"
EDAM_format:3239, "CopasiML"
EDAM_format:3240, "CellML"
EDAM_format:3242, "PSI MI TAB (MITAB)"
EDAM_format:3243, "PSI-PAR"
EDAM_format:3244, "mzML"
EDAM_format:3245, "Mass spectrometry data format"
EDAM_format:3246, "TraML"
EDAM_format:3247, "mzIdentML"
EDAM_format:3248, "mzQuantML"
EDAM_format:3249, "GelML"
EDAM_format:3250, "spML"
EDAM_format:3252, "OWL Functional Syntax"
EDAM_format:3253, "Manchester OWL Syntax"
EDAM_format:3254, "KRSS2 Syntax"
EDAM_format:3255, "Turtle"
EDAM_format:3256, "N-Triples"
EDAM_format:3257, "Notation3"
EDAM_format:3261, "RDF/XML"
EDAM_format:3262, "OWL/XML"
EDAM_format:3281, "A2M"
EDAM_format:3284, "SFF"
EDAM_format:3285, "MAP"
EDAM_format:3286, "PED"
EDAM_format:3287, "Individual genetic data format"
EDAM_format:3288, "PED/MAP"
EDAM_format:3309, "CT"
EDAM_format:3310, "SS"
EDAM_format:3311, "RNAML"
EDAM_format:3312, "GDE"
EDAM_format:3313, "BLC"
EDAM_format:3326, "Data index format"
EDAM_format:3327, "BAI"
EDAM_format:3328, "HMMER2"
EDAM_format:3329, "HMMER3"
EDAM_format:3330, "PO"
EDAM_format:3331, "BLAST XML results format"
EDAM_format:3462, "CRAM"
EDAM_format:3464, "JSON"
EDAM_format:3466, "EPS"
EDAM_format:3467, "GIF"
EDAM_format:3468, "xls"
EDAM_format:3475, "TSV"
EDAM_format:3476, "Gene expression data format"
EDAM_format:3477, "Cytoscape input file format"
EDAM_format:3484, "ebwt"
EDAM_format:3485, "RSF"
EDAM_format:3486, "GCG format variant"
EDAM_format:3487, "BSML"
EDAM_format:3491, "ebwtl"
EDAM_format:3499, "Ensembl variation file format"
EDAM_format:3506, "docx"
EDAM_format:3507, "Document format"
EDAM_format:3508, "PDF"
EDAM_operation:0004, "Operation"
EDAM_operation:0224, "Query and retrieval"
EDAM_operation:0225, "Data retrieval (database cross-reference)"
EDAM_operation:0226, "Annotation"
EDAM_operation:0227, "Indexing"
EDAM_operation:0228, "Data index analysis"
EDAM_operation:0229, "Annotation retrieval (sequence)"
EDAM_operation:0230, "Sequence generation"
EDAM_operation:0231, "Sequence editing"
EDAM_operation:0232, "Sequence merging"
EDAM_operation:0233, "Sequence conversion"
EDAM_operation:0234, "Sequence complexity calculation"
EDAM_operation:0235, "Sequence ambiguity calculation"
EDAM_operation:0236, "Sequence composition calculation"
EDAM_operation:0237, "Repeat sequence analysis"
EDAM_operation:0238, "Sequence motif discovery"
EDAM_operation:0239, "Sequence signature recognition"
EDAM_operation:0240, "Sequence motif comparison"
EDAM_operation:0241, "Transcription regulatory sequence analysis"
EDAM_operation:0242, "Conserved transcription regulatory sequence identification"
EDAM_operation:0243, "Protein property calculation (from structure)"
